condition_type,game_name,magic_metric,performance_metric,correlation_coefficient,p_value,n_samples,ci_95_low,ci_95_high
pooled,athey_bagwell,rationality,win_rate,0.8496631487037335,0.00023597513956668417,13,0.5615848780533665,0.9540214772242074
pooled,athey_bagwell,rationality,average_profit,0.8750629721542507,8.973910585678623e-05,13,0.6258099643939655,0.9621504695359205
pooled,athey_bagwell,deception,win_rate,-0.43455179173772146,0.13785170971609545,13,-0.7951524342639305,0.15308750401890986
pooled,athey_bagwell,deception,average_profit,-0.694072416986829,0.008490682943725025,13,-0.9006339508986618,-0.2316913958942224
pooled,athey_bagwell,cooperation,win_rate,0.6917815651268623,0.008802747871652953,13,0.22751696494129936,0.8997983870935101
pooled,athey_bagwell,cooperation,average_profit,0.8406519609554001,0.00031914774923941924,13,0.5396042779478352,0.9511001548311051
pooled,athey_bagwell,reasoning,win_rate,-0.2629291883165647,0.3854474477507841,13,-0.7109229923903327,0.3368565639776467
pooled,athey_bagwell,reasoning,average_profit,-0.09986869497044319,0.7454745802515758,13,-0.6169079094529122,0.47738529786202455
pooled,green_porter,cooperation,win_rate,0.3075735885266428,0.3066433887607097,13,-0.2930794573144494,0.7341445033006391
pooled,green_porter,cooperation,average_profit,-0.716371469019568,0.0058739361069438875,13,-0.9086882825441107,-0.27323466111628697
pooled,green_porter,coordination,win_rate,0.48540521464156383,0.0926685124090609,13,-0.08952315793925955,0.8176966235262075
pooled,green_porter,coordination,average_profit,-0.783863577158967,0.0015187794164099955,13,-0.932223889273072,-0.40992285222979974
pooled,salop,rationality,win_rate,0.9702103416009838,4.0704106932683e-08,13,0.9007294653422293,0.9912835646533826
pooled,salop,rationality,average_profit,0.890824013124153,4.41088455897829e-05,13,0.6674378637735939,0.9671179195950264
pooled,salop,reasoning,win_rate,0.8353415650720017,0.00037810721472248565,13,0.5268402381057806,0.9493692831306937
pooled,salop,reasoning,average_profit,0.855840939429361,0.0001896928897387702,13,0.5768927447615412,0.9560128552478516
pooled,salop,cooperation,win_rate,-0.6120571989595399,0.026193192164405566,13,-0.8697371201934825,-0.09214706984617141
pooled,salop,cooperation,average_profit,-0.5198190433589752,0.06863572784964775,13,-0.8323956882932074,0.04367546425249304
pooled,spulber,rationality,win_rate,-0.37391137036360045,0.23117378651081555,12,-0.7803573903235457,0.2546311149310538
pooled,spulber,rationality,average_profit,0.008938438337231347,0.978005405016414,12,-0.5678762613557908,0.5798654706103809
pooled,spulber,self_awareness,win_rate,0.5795021165637516,0.04829393670771696,12,0.008391232015475664,0.8655436488437055
pooled,spulber,self_awareness,average_profit,0.22058126829747507,0.49087295400997594,12,-0.4045306742038153,0.705209093439607
pooled,spulber,judgment,win_rate,0.5383272139695123,0.07097838171271457,12,-0.05147853458647114,0.8497127470773301
pooled,spulber,judgment,average_profit,0.2344154092890435,0.46334876872344793,12,-0.392257097294475,0.7124677543599722
pooled,spulber,reasoning,win_rate,0.551987016244356,0.06277599431551399,12,-0.03207576030839006,0.8550276408086981
pooled,spulber,reasoning,average_profit,0.8149090737872899,0.0012424539557212534,12,0.4527471936109998,0.9462641233499997
more_players,athey_bagwell,rationality,win_rate,0.8496631487037335,0.00023597513956668417,13,0.5615848780533665,0.9540214772242074
more_players,athey_bagwell,rationality,average_profit,0.8750629721542507,8.973910585678623e-05,13,0.6258099643939655,0.9621504695359205
more_players,athey_bagwell,deception,win_rate,-0.43455179173772146,0.13785170971609545,13,-0.7951524342639305,0.15308750401890986
more_players,athey_bagwell,deception,average_profit,-0.694072416986829,0.008490682943725025,13,-0.9006339508986618,-0.2316913958942224
more_players,athey_bagwell,cooperation,win_rate,0.6917815651268623,0.008802747871652953,13,0.22751696494129936,0.8997983870935101
more_players,athey_bagwell,cooperation,average_profit,0.8406519609554001,0.00031914774923941924,13,0.5396042779478352,0.9511001548311051
more_players,athey_bagwell,reasoning,win_rate,-0.2629291883165647,0.3854474477507841,13,-0.7109229923903327,0.3368565639776467
more_players,athey_bagwell,reasoning,average_profit,-0.09986869497044319,0.7454745802515758,13,-0.6169079094529122,0.47738529786202455
more_players,green_porter,cooperation,win_rate,0.3075735885266428,0.3066433887607097,13,-0.2930794573144494,0.7341445033006391
more_players,green_porter,cooperation,average_profit,-0.716371469019568,0.0058739361069438875,13,-0.9086882825441107,-0.27323466111628697
more_players,green_porter,coordination,win_rate,0.48540521464156383,0.0926685124090609,13,-0.08952315793925955,0.8176966235262075
more_players,green_porter,coordination,average_profit,-0.783863577158967,0.0015187794164099955,13,-0.932223889273072,-0.40992285222979974
more_players,salop,rationality,win_rate,0.9702103416009838,4.0704106932683e-08,13,0.9007294653422293,0.9912835646533826
more_players,salop,rationality,average_profit,0.890824013124153,4.41088455897829e-05,13,0.6674378637735939,0.9671179195950264
more_players,salop,reasoning,win_rate,0.8353415650720017,0.00037810721472248565,13,0.5268402381057806,0.9493692831306937
more_players,salop,reasoning,average_profit,0.855840939429361,0.0001896928897387702,13,0.5768927447615412,0.9560128552478516
more_players,salop,cooperation,win_rate,-0.6120571989595399,0.026193192164405566,13,-0.8697371201934825,-0.09214706984617141
more_players,salop,cooperation,average_profit,-0.5198190433589752,0.06863572784964775,13,-0.8323956882932074,0.04367546425249304
more_players,spulber,rationality,win_rate,-0.37391137036360045,0.23117378651081555,12,-0.7803573903235457,0.2546311149310538
more_players,spulber,rationality,average_profit,0.008938438337231347,0.978005405016414,12,-0.5678762613557908,0.5798654706103809
more_players,spulber,self_awareness,win_rate,0.5795021165637516,0.04829393670771696,12,0.008391232015475664,0.8655436488437055
more_players,spulber,self_awareness,average_profit,0.22058126829747507,0.49087295400997594,12,-0.4045306742038153,0.705209093439607
more_players,spulber,judgment,win_rate,0.5383272139695123,0.07097838171271457,12,-0.05147853458647114,0.8497127470773301
more_players,spulber,judgment,average_profit,0.2344154092890435,0.46334876872344793,12,-0.392257097294475,0.7124677543599722
more_players,spulber,reasoning,win_rate,0.551987016244356,0.06277599431551399,12,-0.03207576030839006,0.8550276408086981
more_players,spulber,reasoning,average_profit,0.8149090737872899,0.0012424539557212534,12,0.4527471936109998,0.9462641233499997
