game,model,condition,metric,mean,std,ci_95
athey_bagwell,Qwen/Qwen3-14B-Thinking-Off,baseline,coordination,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-Off,baseline,deception,0.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-Off,baseline,rationality,0.0830007215007215,0.09946258349881297,0.02826695346984411
athey_bagwell,Qwen/Qwen3-14B-Thinking-Off,baseline,reasoning,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-Off,more_players,coordination,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-Off,more_players,deception,0.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-Off,more_players,rationality,0.12508008658008657,0.09616929378991004,0.027331010890337452
athey_bagwell,Qwen/Qwen3-14B-Thinking-Off,more_players,reasoning,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-On,baseline,coordination,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-On,baseline,deception,0.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-On,baseline,rationality,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-On,baseline,reasoning,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-On,more_players,coordination,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-On,more_players,deception,0.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-On,more_players,rationality,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-14B-Thinking-On,more_players,reasoning,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-235B-A22B-Instruct-2507,baseline,coordination,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-235B-A22B-Instruct-2507,baseline,deception,0.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-235B-A22B-Instruct-2507,baseline,rationality,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-235B-A22B-Instruct-2507,baseline,reasoning,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-235B-A22B-Instruct-2507,more_players,coordination,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-235B-A22B-Instruct-2507,more_players,deception,0.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-235B-A22B-Instruct-2507,more_players,rationality,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-235B-A22B-Instruct-2507,more_players,reasoning,1.0,0.0,0.0
athey_bagwell,Qwen/Qwen3-30B-A3B-Thinking-Off,baseline,coordination,0.9966666666666667,0.02357022603955158,0.00669858412376413
athey_bagwell,Qwen/Qwen3-30B-A3B-Thinking-Off,baseline,deception,0.003333333333333333,0.02357022603955158,0.00669858412376413
athey_bagwell,Qwen/Qwen3-30B-A3B-Thinking-Off,baseline,rationality,0.996,0.02828427124746189,0.008038300948516956
