condition,baseline,baseline,baseline,more_players,more_players,more_players
metric,allocative_efficiency,average_profit,win_rate,allocative_efficiency,average_profit,win_rate
model,,,,,,
Qwen/Qwen3-14B-Thinking-Off,"0.71 [0.71, 0.71]","47.25 [47.25, 47.25]","0.16 [0.16, 0.16]","0.71 [0.71, 0.71]","0.00 [0.00, 0.00]","0.04 [0.04, 0.04]"
Qwen/Qwen3-235B-A22B-Instruct-2507,"0.44 [0.44, 0.44]","350.35 [350.35, 350.35]","0.89 [0.89, 0.89]","0.32 [0.32, 0.32]","338.62 [338.62, 338.62]","0.86 [0.86, 0.86]"
Qwen/Qwen3-30B-A3B-Thinking-Off,"0.42 [0.42, 0.42]","250.25 [250.25, 250.25]","0.91 [0.91, 0.91]","0.30 [0.30, 0.30]","236.50 [236.50, 236.50]","0.86 [0.86, 0.86]"
Qwen/Qwen3-32B-Thinking-Off,"0.53 [0.53, 0.53]","184.25 [184.25, 184.25]","0.69 [0.69, 0.69]","0.29 [0.29, 0.29]","248.69 [248.69, 248.69]","0.90 [0.90, 0.90]"
google/gemma-3-27b-it,"0.42 [0.42, 0.42]","337.51 [337.51, 337.51]","0.91 [0.91, 0.91]","0.31 [0.31, 0.31]","324.80 [324.80, 324.80]","0.88 [0.88, 0.88]"
meta-llama/Llama-3.3-70B-Instruct-Turbo,"0.35 [0.35, 0.35]","-197.89 [-197.89, -197.89]","0.00 [0.00, 0.00]","0.22 [0.22, 0.22]","-201.03 [-201.03, -201.03]","0.00 [0.00, 0.00]"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"0.65 [0.65, 0.65]","3.78 [3.78, 3.78]","0.17 [0.17, 0.17]","0.73 [0.73, 0.73]","0.00 [0.00, 0.00]","0.04 [0.04, 0.04]"
meta-llama/Llama-4-Scout-17B-16E-Instruct,"0.74 [0.74, 0.74]","52.50 [52.50, 52.50]","0.16 [0.16, 0.16]","0.75 [0.75, 0.75]","5.94 [5.94, 5.94]","0.04 [0.04, 0.04]"
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,"0.65 [0.65, 0.65]","6.75 [6.75, 6.75]","0.17 [0.17, 0.17]","0.70 [0.70, 0.70]","1.97 [1.97, 1.97]","0.05 [0.05, 0.05]"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,"0.40 [0.40, 0.40]","207.03 [207.03, 207.03]","0.84 [0.84, 0.84]","0.22 [0.22, 0.22]","-321.75 [-321.75, -321.75]","0.00 [0.00, 0.00]"
random_agent,"0.55 [0.55, 0.55]","-797.90 [-797.90, -797.90]","0.15 [0.15, 0.15]","0.37 [0.37, 0.37]","-918.72 [-918.72, -918.72]","0.10 [0.10, 0.10]"
